Analysis,Index,Sides,AccrualTime,FollowUpTime,Alpha,RefSurvival,SurvCurve1Form,SurvCurve2Form,HazardRatio,Weight1,Weight2,NTotal,NSubInterval,LossExpHazard1,LossExpHazard2,Power,Error,Info,hazard_rate
TwoSampleSurvival,19,2,18,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,9900,12,0,0,0.658,,,4
TwoSampleSurvival,20,2,18,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,9900,12,0,0,0.637,,,4
TwoSampleSurvival,21,2,18,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,9900,12,0,0,0.615,,,4
TwoSampleSurvival,22,2,18,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,9900,12,0,0,0.592,,,4
TwoSampleSurvival,23,2,18,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,9900,12,0,0,0.823,,,4
TwoSampleSurvival,24,2,18,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,9900,12,0,0,0.806,,,4
TwoSampleSurvival,25,2,18,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,9900,12,0,0,0.789,,,4
TwoSampleSurvival,26,2,18,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,9900,12,0,0,0.771,,,4
TwoSampleSurvival,27,2,18,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,9900,12,0,0,0.752,,,4
TwoSampleSurvival,28,2,18,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,9900,12,0,0,0.732,,,4
TwoSampleSurvival,29,2,18,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,9900,12,0,0,0.712,,,4
TwoSampleSurvival,30,2,18,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,9900,12,0,0,0.690,,,4
TwoSampleSurvival,31,2,18,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,9900,12,0,0,0.669,,,4
TwoSampleSurvival,32,2,18,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,9900,12,0,0,0.647,,,4
TwoSampleSurvival,33,2,18,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,9900,12,0,0,0.624,,,4
TwoSampleSurvival,34,2,18,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,9900,12,0,0,0.848,,,4
TwoSampleSurvival,35,2,18,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,9900,12,0,0,0.832,,,4
TwoSampleSurvival,36,2,18,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,9900,12,0,0,0.816,,,4
TwoSampleSurvival,37,2,18,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,9900,12,0,0,0.798,,,4
TwoSampleSurvival,38,2,18,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,9900,12,0,0,0.780,,,4
TwoSampleSurvival,39,2,18,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,9900,12,0,0,0.761,,,4
TwoSampleSurvival,40,2,18,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,9900,12,0,0,0.741,,,4
TwoSampleSurvival,41,2,18,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,9900,12,0,0,0.720,,,4
TwoSampleSurvival,42,2,18,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,9900,12,0,0,0.699,,,4
TwoSampleSurvival,43,2,18,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,9900,12,0,0,0.676,,,4
TwoSampleSurvival,44,2,18,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,9900,12,0,0,0.654,,,4
TwoSampleSurvival,45,2,18,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,9900,12,0,0,0.870,,,4
TwoSampleSurvival,46,2,18,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,9900,12,0,0,0.855,,,4
TwoSampleSurvival,47,2,18,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,9900,12,0,0,0.840,,,4
TwoSampleSurvival,48,2,18,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,9900,12,0,0,0.823,,,4
TwoSampleSurvival,49,2,18,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,9900,12,0,0,0.806,,,4
TwoSampleSurvival,50,2,18,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,9900,12,0,0,0.787,,,4
TwoSampleSurvival,51,2,18,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,9900,12,0,0,0.768,,,4
TwoSampleSurvival,52,2,18,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,9900,12,0,0,0.747,,,4
TwoSampleSurvival,53,2,18,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,9900,12,0,0,0.726,,,4
TwoSampleSurvival,54,2,18,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,9900,12,0,0,0.704,,,4
TwoSampleSurvival,55,2,18,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,9900,12,0,0,0.682,,,4
TwoSampleSurvival,56,2,18,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,9900,12,0,0,0.889,,,4
TwoSampleSurvival,57,2,18,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,9900,12,0,0,0.875,,,4
TwoSampleSurvival,58,2,18,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,9900,12,0,0,0.861,,,4
TwoSampleSurvival,59,2,18,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,9900,12,0,0,0.845,,,4
TwoSampleSurvival,60,2,18,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,9900,12,0,0,0.829,,,4
TwoSampleSurvival,61,2,18,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,9900,12,0,0,0.811,,,4
TwoSampleSurvival,62,2,18,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,9900,12,0,0,0.792,,,4
TwoSampleSurvival,63,2,18,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,9900,12,0,0,0.772,,,4
TwoSampleSurvival,64,2,18,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,9900,12,0,0,0.752,,,4
TwoSampleSurvival,65,2,18,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,9900,12,0,0,0.730,,,4
TwoSampleSurvival,66,2,18,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,9900,12,0,0,0.708,,,4
TwoSampleSurvival,67,2,18,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,9900,12,0,0,0.905,,,4
TwoSampleSurvival,68,2,18,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,9900,12,0,0,0.893,,,4
TwoSampleSurvival,69,2,18,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,9900,12,0,0,0.879,,,4
TwoSampleSurvival,70,2,18,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,9900,12,0,0,0.865,,,4
TwoSampleSurvival,71,2,18,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,9900,12,0,0,0.849,,,4
TwoSampleSurvival,72,2,18,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,9900,12,0,0,0.832,,,4
TwoSampleSurvival,73,2,18,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,9900,12,0,0,0.814,,,4
TwoSampleSurvival,74,2,18,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,9900,12,0,0,0.795,,,4
TwoSampleSurvival,75,2,18,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,9900,12,0,0,0.775,,,4
TwoSampleSurvival,76,2,18,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,9900,12,0,0,0.754,,,4
TwoSampleSurvival,77,2,18,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,9900,12,0,0,0.732,,,4
TwoSampleSurvival,78,2,19,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,9900,12,0,0,0.779,,,4
TwoSampleSurvival,79,2,19,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,9900,12,0,0,0.761,,,4
TwoSampleSurvival,80,2,19,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,9900,12,0,0,0.743,,,4
TwoSampleSurvival,81,2,19,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,9900,12,0,0,0.723,,,4
TwoSampleSurvival,82,2,19,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,9900,12,0,0,0.704,,,4
TwoSampleSurvival,83,2,19,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,9900,12,0,0,0.683,,,4
TwoSampleSurvival,84,2,19,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,9900,12,0,0,0.663,,,4
TwoSampleSurvival,85,2,19,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,9900,12,0,0,0.641,,,4
TwoSampleSurvival,86,2,19,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,9900,12,0,0,0.620,,,4
TwoSampleSurvival,87,2,19,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,9900,12,0,0,0.598,,,4
TwoSampleSurvival,88,2,19,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,9900,12,0,0,0.576,,,4
TwoSampleSurvival,89,2,19,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,9900,12,0,0,0.809,,,4
TwoSampleSurvival,90,2,19,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,9900,12,0,0,0.792,,,4
TwoSampleSurvival,91,2,19,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,9900,12,0,0,0.774,,,4
TwoSampleSurvival,92,2,19,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,9900,12,0,0,0.756,,,4
TwoSampleSurvival,93,2,19,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,9900,12,0,0,0.736,,,4
TwoSampleSurvival,94,2,19,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,9900,12,0,0,0.717,,,4
TwoSampleSurvival,95,2,19,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,9900,12,0,0,0.696,,,4
TwoSampleSurvival,96,2,19,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,9900,12,0,0,0.675,,,4
TwoSampleSurvival,97,2,19,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,9900,12,0,0,0.653,,,4
TwoSampleSurvival,98,2,19,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,9900,12,0,0,0.631,,,4
TwoSampleSurvival,99,2,19,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,9900,12,0,0,0.608,,,4
TwoSampleSurvival,100,2,19,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,9900,12,0,0,0.836,,,4
TwoSampleSurvival,101,2,19,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,9900,12,0,0,0.820,,,4
TwoSampleSurvival,102,2,19,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,9900,12,0,0,0.803,,,4
TwoSampleSurvival,103,2,19,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,9900,12,0,0,0.785,,,4
TwoSampleSurvival,104,2,19,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,9900,12,0,0,0.766,,,4
TwoSampleSurvival,105,2,19,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,9900,12,0,0,0.747,,,4
TwoSampleSurvival,106,2,19,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,9900,12,0,0,0.727,,,4
TwoSampleSurvival,107,2,19,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,9900,12,0,0,0.706,,,4
TwoSampleSurvival,108,2,19,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,9900,12,0,0,0.684,,,4
TwoSampleSurvival,109,2,19,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,9900,12,0,0,0.662,,,4
TwoSampleSurvival,110,2,19,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,9900,12,0,0,0.639,,,4
TwoSampleSurvival,111,2,19,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,9900,12,0,0,0.859,,,4
TwoSampleSurvival,112,2,19,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,9900,12,0,0,0.844,,,4
TwoSampleSurvival,113,2,19,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,9900,12,0,0,0.828,,,4
TwoSampleSurvival,114,2,19,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,9900,12,0,0,0.811,,,4
TwoSampleSurvival,115,2,19,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,9900,12,0,0,0.793,,,4
TwoSampleSurvival,116,2,19,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,9900,12,0,0,0.774,,,4
TwoSampleSurvival,117,2,19,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,9900,12,0,0,0.755,,,4
TwoSampleSurvival,118,2,19,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,9900,12,0,0,0.734,,,4
TwoSampleSurvival,119,2,19,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,9900,12,0,0,0.713,,,4
TwoSampleSurvival,120,2,19,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,9900,12,0,0,0.691,,,4
TwoSampleSurvival,121,2,19,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,9900,12,0,0,0.668,,,4
TwoSampleSurvival,122,2,19,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,9900,12,0,0,0.880,,,4
TwoSampleSurvival,123,2,19,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,9900,12,0,0,0.866,,,4
TwoSampleSurvival,124,2,19,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,9900,12,0,0,0.851,,,4
TwoSampleSurvival,125,2,19,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,9900,12,0,0,0.834,,,4
TwoSampleSurvival,126,2,19,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,9900,12,0,0,0.817,,,4
TwoSampleSurvival,127,2,19,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,9900,12,0,0,0.799,,,4
TwoSampleSurvival,128,2,19,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,9900,12,0,0,0.780,,,4
TwoSampleSurvival,129,2,19,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,9900,12,0,0,0.760,,,4
TwoSampleSurvival,130,2,19,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,9900,12,0,0,0.739,,,4
TwoSampleSurvival,131,2,19,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,9900,12,0,0,0.718,,,4
TwoSampleSurvival,132,2,19,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,9900,12,0,0,0.695,,,4
TwoSampleSurvival,133,2,19,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,9900,12,0,0,0.897,,,4
TwoSampleSurvival,134,2,19,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,9900,12,0,0,0.884,,,4
TwoSampleSurvival,135,2,19,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,9900,12,0,0,0.870,,,4
TwoSampleSurvival,136,2,19,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,9900,12,0,0,0.855,,,4
TwoSampleSurvival,137,2,19,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,9900,12,0,0,0.839,,,4
TwoSampleSurvival,138,2,19,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,9900,12,0,0,0.822,,,4
TwoSampleSurvival,139,2,19,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,9900,12,0,0,0.804,,,4
TwoSampleSurvival,140,2,19,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,9900,12,0,0,0.784,,,4
TwoSampleSurvival,141,2,19,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,9900,12,0,0,0.764,,,4
TwoSampleSurvival,142,2,19,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,9900,12,0,0,0.742,,,4
TwoSampleSurvival,143,2,19,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,9900,12,0,0,0.720,,,4
TwoSampleSurvival,144,2,19,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,9900,12,0,0,0.913,,,4
TwoSampleSurvival,145,2,19,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,9900,12,0,0,0.901,,,4
TwoSampleSurvival,146,2,19,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,9900,12,0,0,0.888,,,4
TwoSampleSurvival,147,2,19,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,9900,12,0,0,0.874,,,4
TwoSampleSurvival,148,2,19,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,9900,12,0,0,0.859,,,4
TwoSampleSurvival,149,2,19,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,9900,12,0,0,0.842,,,4
TwoSampleSurvival,150,2,19,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,9900,12,0,0,0.825,,,4
TwoSampleSurvival,151,2,19,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,9900,12,0,0,0.806,,,4
TwoSampleSurvival,152,2,19,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,9900,12,0,0,0.786,,,4
TwoSampleSurvival,153,2,19,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,9900,12,0,0,0.766,,,4
TwoSampleSurvival,154,2,19,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,9900,12,0,0,0.744,,,4
TwoSampleSurvival,155,2,20,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,9900,12,0,0,0.794,,,4
TwoSampleSurvival,156,2,20,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,9900,12,0,0,0.777,,,4
TwoSampleSurvival,157,2,20,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,9900,12,0,0,0.759,,,4
TwoSampleSurvival,158,2,20,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,9900,12,0,0,0.740,,,4
TwoSampleSurvival,159,2,20,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,9900,12,0,0,0.721,,,4
TwoSampleSurvival,160,2,20,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,9900,12,0,0,0.700,,,4
TwoSampleSurvival,161,2,20,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,9900,12,0,0,0.680,,,4
TwoSampleSurvival,162,2,20,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,9900,12,0,0,0.658,,,4
TwoSampleSurvival,163,2,20,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,9900,12,0,0,0.637,,,4
TwoSampleSurvival,164,2,20,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,9900,12,0,0,0.615,,,4
TwoSampleSurvival,165,2,20,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,9900,12,0,0,0.592,,,4
TwoSampleSurvival,166,2,20,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,9900,12,0,0,0.823,,,4
TwoSampleSurvival,167,2,20,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,9900,12,0,0,0.806,,,4
TwoSampleSurvival,168,2,20,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,9900,12,0,0,0.789,,,4
TwoSampleSurvival,169,2,20,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,9900,12,0,0,0.771,,,4
TwoSampleSurvival,170,2,20,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,9900,12,0,0,0.752,,,4
TwoSampleSurvival,171,2,20,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,9900,12,0,0,0.732,,,4
TwoSampleSurvival,172,2,20,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,9900,12,0,0,0.712,,,4
TwoSampleSurvival,173,2,20,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,9900,12,0,0,0.690,,,4
TwoSampleSurvival,174,2,20,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,9900,12,0,0,0.669,,,4
TwoSampleSurvival,175,2,20,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,9900,12,0,0,0.647,,,4
TwoSampleSurvival,176,2,20,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,9900,12,0,0,0.624,,,4
TwoSampleSurvival,177,2,20,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,9900,12,0,0,0.848,,,4
TwoSampleSurvival,178,2,20,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,9900,12,0,0,0.832,,,4
TwoSampleSurvival,179,2,20,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,9900,12,0,0,0.816,,,4
TwoSampleSurvival,180,2,20,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,9900,12,0,0,0.798,,,4
TwoSampleSurvival,181,2,20,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,9900,12,0,0,0.780,,,4
TwoSampleSurvival,182,2,20,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,9900,12,0,0,0.761,,,4
TwoSampleSurvival,183,2,20,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,9900,12,0,0,0.741,,,4
TwoSampleSurvival,184,2,20,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,9900,12,0,0,0.720,,,4
TwoSampleSurvival,185,2,20,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,9900,12,0,0,0.699,,,4
TwoSampleSurvival,186,2,20,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,9900,12,0,0,0.676,,,4
TwoSampleSurvival,187,2,20,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,9900,12,0,0,0.654,,,4
TwoSampleSurvival,188,2,20,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,9900,12,0,0,0.870,,,4
TwoSampleSurvival,189,2,20,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,9900,12,0,0,0.855,,,4
TwoSampleSurvival,190,2,20,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,9900,12,0,0,0.840,,,4
TwoSampleSurvival,191,2,20,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,9900,12,0,0,0.823,,,4
TwoSampleSurvival,192,2,20,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,9900,12,0,0,0.806,,,4
TwoSampleSurvival,193,2,20,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,9900,12,0,0,0.787,,,4
