Analysis,Index,Sides,AccrualTime,FollowUpTime,Alpha,RefSurvival,SurvCurve1Form,SurvCurve2Form,HazardRatio,Weight1,Weight2,NominalPower,NSubInterval,LossExpHazard1,LossExpHazard2,Power,NTotal,Error,Info,hazard_rate
TwoSampleSurvival,55,2,18,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,0.9,12,0,0,0.900,17582,,,4
TwoSampleSurvival,56,2,18,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,0.9,12,0,0,0.900,10288,,,4
TwoSampleSurvival,57,2,18,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,0.9,12,0,0,0.900,10744,,,4
TwoSampleSurvival,58,2,18,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,0.9,12,0,0,0.900,11230,,,4
TwoSampleSurvival,59,2,18,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,0.9,12,0,0,0.900,11746,,,4
TwoSampleSurvival,60,2,18,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,0.9,12,0,0,0.900,12300,,,4
TwoSampleSurvival,61,2,18,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,0.9,12,0,0,0.900,12890,,,4
TwoSampleSurvival,62,2,18,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,0.9,12,0,0,0.900,13522,,,4
TwoSampleSurvival,63,2,18,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,0.9,12,0,0,0.900,14198,,,4
TwoSampleSurvival,64,2,18,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,0.9,12,0,0,0.900,14926,,,4
TwoSampleSurvival,65,2,18,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,0.9,12,0,0,0.900,15708,,,4
TwoSampleSurvival,66,2,18,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,0.9,12,0,0,0.900,16550,,,4
TwoSampleSurvival,67,2,18,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,0.9,12,0,0,0.900,9718,,,4
TwoSampleSurvival,68,2,18,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,0.9,12,0,0,0.900,10148,,,4
TwoSampleSurvival,69,2,18,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,0.9,12,0,0,0.900,10606,,,4
TwoSampleSurvival,70,2,18,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,0.9,12,0,0,0.900,11094,,,4
TwoSampleSurvival,71,2,18,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,0.9,12,0,0,0.900,11616,,,4
TwoSampleSurvival,72,2,18,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,0.9,12,0,0,0.900,12174,,,4
TwoSampleSurvival,73,2,18,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,0.9,12,0,0,0.900,12770,,,4
TwoSampleSurvival,74,2,18,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,0.9,12,0,0,0.900,13410,,,4
TwoSampleSurvival,75,2,18,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,0.9,12,0,0,0.900,14098,,,4
TwoSampleSurvival,76,2,18,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,0.9,12,0,0,0.900,14836,,,4
TwoSampleSurvival,77,2,18,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,0.9,12,0,0,0.900,15632,,,4
TwoSampleSurvival,78,2,19,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,0.9,12,0,0,0.900,13980,,,4
TwoSampleSurvival,79,2,19,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,0.9,12,0,0,0.900,14600,,,4
TwoSampleSurvival,80,2,19,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,0.9,12,0,0,0.900,15258,,,4
TwoSampleSurvival,81,2,19,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,0.9,12,0,0,0.900,15962,,,4
TwoSampleSurvival,82,2,19,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,0.9,12,0,0,0.900,16712,,,4
TwoSampleSurvival,83,2,19,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,0.9,12,0,0,0.900,17514,,,4
TwoSampleSurvival,84,2,19,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,0.9,12,0,0,0.900,18372,,,4
TwoSampleSurvival,85,2,19,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,0.9,12,0,0,0.900,19292,,,4
TwoSampleSurvival,86,2,19,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,0.9,12,0,0,0.900,20278,,,4
TwoSampleSurvival,87,2,19,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,0.9,12,0,0,0.900,21342,,,4
TwoSampleSurvival,88,2,19,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,0.9,12,0,0,0.900,22486,,,4
TwoSampleSurvival,89,2,19,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,0.9,12,0,0,0.900,12948,,,4
TwoSampleSurvival,90,2,19,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,0.9,12,0,0,0.900,13522,,,4
TwoSampleSurvival,91,2,19,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,0.9,12,0,0,0.900,14132,,,4
TwoSampleSurvival,92,2,19,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,0.9,12,0,0,0.900,14784,,,4
TwoSampleSurvival,93,2,19,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,0.9,12,0,0,0.900,15478,,,4
TwoSampleSurvival,94,2,19,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,0.9,12,0,0,0.900,16220,,,4
TwoSampleSurvival,95,2,19,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,0.9,12,0,0,0.900,17016,,,4
TwoSampleSurvival,96,2,19,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,0.9,12,0,0,0.900,17868,,,4
TwoSampleSurvival,97,2,19,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,0.9,12,0,0,0.900,18782,,,4
TwoSampleSurvival,98,2,19,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,0.9,12,0,0,0.900,19766,,,4
TwoSampleSurvival,99,2,19,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,0.9,12,0,0,0.900,20828,,,4
TwoSampleSurvival,100,2,19,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,0.9,12,0,0,0.900,12058,,,4
TwoSampleSurvival,101,2,19,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,0.9,12,0,0,0.900,12592,,,4
TwoSampleSurvival,102,2,19,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,0.9,12,0,0,0.900,13160,,,4
TwoSampleSurvival,103,2,19,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,0.9,12,0,0,0.900,13768,,,4
TwoSampleSurvival,104,2,19,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,0.9,12,0,0,0.900,14414,,,4
TwoSampleSurvival,105,2,19,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,0.9,12,0,0,0.900,15106,,,4
TwoSampleSurvival,106,2,19,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,0.9,12,0,0,0.900,15846,,,4
TwoSampleSurvival,107,2,19,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,0.9,12,0,0,0.900,16640,,,4
TwoSampleSurvival,108,2,19,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,0.9,12,0,0,0.900,17492,,,4
TwoSampleSurvival,109,2,19,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,0.9,12,0,0,0.900,18408,,,4
TwoSampleSurvival,110,2,19,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,0.9,12,0,0,0.900,19396,,,4
TwoSampleSurvival,111,2,19,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,0.9,12,0,0,0.900,11282,,,4
TwoSampleSurvival,112,2,19,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,0.9,12,0,0,0.900,11782,,,4
TwoSampleSurvival,113,2,19,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,0.9,12,0,0,0.900,12314,,,4
TwoSampleSurvival,114,2,19,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,0.9,12,0,0,0.900,12882,,,4
TwoSampleSurvival,115,2,19,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,0.9,12,0,0,0.900,13486,,,4
TwoSampleSurvival,116,2,19,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,0.9,12,0,0,0.900,14134,,,4
TwoSampleSurvival,117,2,19,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,0.9,12,0,0,0.900,14826,,,4
TwoSampleSurvival,118,2,19,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,0.9,12,0,0,0.900,15568,,,4
TwoSampleSurvival,119,2,19,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,0.9,12,0,0,0.900,16366,,,4
TwoSampleSurvival,120,2,19,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,0.9,12,0,0,0.900,17224,,,4
TwoSampleSurvival,121,2,19,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,0.9,12,0,0,0.900,18148,,,4
TwoSampleSurvival,122,2,19,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,0.9,12,0,0,0.900,10600,,,4
TwoSampleSurvival,123,2,19,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,0.9,12,0,0,0.900,11068,,,4
TwoSampleSurvival,124,2,19,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,0.9,12,0,0,0.900,11568,,,4
TwoSampleSurvival,125,2,19,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,0.9,12,0,0,0.900,12102,,,4
TwoSampleSurvival,126,2,19,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,0.9,12,0,0,0.900,12670,,,4
TwoSampleSurvival,127,2,19,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,0.9,12,0,0,0.900,13278,,,4
TwoSampleSurvival,128,2,19,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,0.9,12,0,0,0.900,13930,,,4
TwoSampleSurvival,129,2,19,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,0.9,12,0,0,0.900,14628,,,4
TwoSampleSurvival,130,2,19,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,0.9,12,0,0,0.900,15376,,,4
TwoSampleSurvival,131,2,19,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,0.9,12,0,0,0.900,16182,,,4
TwoSampleSurvival,132,2,19,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,0.9,12,0,0,0.900,17050,,,4
TwoSampleSurvival,133,2,19,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,0.9,12,0,0,0.900,9994,,,4
TwoSampleSurvival,134,2,19,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,0.9,12,0,0,0.900,10438,,,4
TwoSampleSurvival,135,2,19,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,0.9,12,0,0,0.900,10908,,,4
TwoSampleSurvival,136,2,19,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,0.9,12,0,0,0.900,11412,,,4
TwoSampleSurvival,137,2,19,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,0.9,12,0,0,0.900,11948,,,4
TwoSampleSurvival,138,2,19,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,0.9,12,0,0,0.900,12522,,,4
TwoSampleSurvival,139,2,19,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,0.9,12,0,0,0.900,13134,,,4
TwoSampleSurvival,140,2,19,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,0.9,12,0,0,0.900,13792,,,4
TwoSampleSurvival,141,2,19,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,0.9,12,0,0,0.900,14500,,,4
TwoSampleSurvival,142,2,19,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,0.9,12,0,0,0.900,15260,,,4
TwoSampleSurvival,143,2,19,8,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,0.9,12,0,0,0.900,16078,,,4
TwoSampleSurvival,144,2,19,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,0.9,12,0,0,0.900,9454,,,4
TwoSampleSurvival,145,2,19,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,0.9,12,0,0,0.900,9874,,,4
TwoSampleSurvival,146,2,19,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,0.9,12,0,0,0.900,10320,,,4
TwoSampleSurvival,147,2,19,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,0.9,12,0,0,0.900,10794,,,4
TwoSampleSurvival,148,2,19,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,0.9,12,0,0,0.900,11302,,,4
TwoSampleSurvival,149,2,19,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,0.9,12,0,0,0.900,11844,,,4
TwoSampleSurvival,150,2,19,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,0.9,12,0,0,0.900,12426,,,4
TwoSampleSurvival,151,2,19,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,0.9,12,0,0,0.900,13048,,,4
TwoSampleSurvival,152,2,19,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,0.9,12,0,0,0.900,13716,,,4
TwoSampleSurvival,153,2,19,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,0.9,12,0,0,0.900,14436,,,4
TwoSampleSurvival,154,2,19,9,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,0.9,12,0,0,0.900,15210,,,4
TwoSampleSurvival,155,2,20,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,0.9,12,0,0,0.900,13444,,,4
TwoSampleSurvival,156,2,20,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,0.9,12,0,0,0.900,14040,,,4
TwoSampleSurvival,157,2,20,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,0.9,12,0,0,0.900,14674,,,4
TwoSampleSurvival,158,2,20,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,0.9,12,0,0,0.900,15350,,,4
TwoSampleSurvival,159,2,20,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,0.9,12,0,0,0.900,16070,,,4
TwoSampleSurvival,160,2,20,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,0.9,12,0,0,0.900,16842,,,4
TwoSampleSurvival,161,2,20,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,0.9,12,0,0,0.900,17666,,,4
TwoSampleSurvival,162,2,20,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,0.9,12,0,0,0.900,18552,,,4
TwoSampleSurvival,163,2,20,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,0.9,12,0,0,0.900,19502,,,4
TwoSampleSurvival,164,2,20,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,0.9,12,0,0,0.900,20524,,,4
TwoSampleSurvival,165,2,20,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,0.9,12,0,0,0.900,21624,,,4
TwoSampleSurvival,166,2,20,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,0.9,12,0,0,0.900,12486,,,4
TwoSampleSurvival,167,2,20,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,0.9,12,0,0,0.900,13040,,,4
TwoSampleSurvival,168,2,20,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,0.9,12,0,0,0.900,13628,,,4
TwoSampleSurvival,169,2,20,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,0.9,12,0,0,0.900,14256,,,4
TwoSampleSurvival,170,2,20,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,0.9,12,0,0,0.900,14926,,,4
TwoSampleSurvival,171,2,20,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,0.9,12,0,0,0.900,15642,,,4
TwoSampleSurvival,172,2,20,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,0.9,12,0,0,0.900,16410,,,4
TwoSampleSurvival,173,2,20,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,0.9,12,0,0,0.900,17232,,,4
TwoSampleSurvival,174,2,20,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,0.9,12,0,0,0.900,18114,,,4
TwoSampleSurvival,175,2,20,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,0.9,12,0,0,0.900,19062,,,4
TwoSampleSurvival,176,2,20,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,0.9,12,0,0,0.900,20086,,,4
TwoSampleSurvival,177,2,20,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,0.9,12,0,0,0.900,11656,,,4
TwoSampleSurvival,178,2,20,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,0.9,12,0,0,0.900,12172,,,4
TwoSampleSurvival,179,2,20,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,0.9,12,0,0,0.900,12722,,,4
TwoSampleSurvival,180,2,20,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,0.9,12,0,0,0.900,13308,,,4
TwoSampleSurvival,181,2,20,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,0.9,12,0,0,0.900,13934,,,4
TwoSampleSurvival,182,2,20,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,0.9,12,0,0,0.900,14602,,,4
TwoSampleSurvival,183,2,20,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,0.9,12,0,0,0.900,15318,,,4
